标题,作者,图书简介,链接
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle (Illustrator)",Exuberantly coloured artwork and favourite animals make this rhythmic story the perfect introduction to looking and learning about colours. Each spread leads seamlessly into the next and young children will delight in Eric's colourful collage animals and simple repetitive language.,https://www.xiaohuasheng.cn/book/4cbe1f550224cd9f
快点滚去睡!,（美） 亚当·曼斯巴赫 著；（美） 里卡多·科尔特斯 绘；颜叙 译,"2岁女儿在入睡前总是上蹿下跳两小时，让作家夫妇精疲力竭，故而写出本书。书中以父母与孩子对话的口吻来讲述，真实表现了孩子在临睡前种种令人抓狂的行为，父母在对孩子的慈爱之余，也有深藏于内心的沮丧和压力。语言风格则是结合优美的韵文和直接到不行的奶爸奶妈心声，颠覆且爆笑。
献给所有曾经的父母、现在的父母和将来的父母！
内容全无，书名一出，即遭网友热捧,预售即登上亚马逊畅销书排行榜NO.2
纽约时报、华尔街杂志、出版人周刊、亚马逊网站……畅销书NO.1
首印即为150,000册，更在短短6个月内大卖逾500,000册
版权被疯抢，被译成32种语言, 电影版权即刻被FOX2000签走
《快点滚去睡！》是所有累趴下了的父母的真实心声。——布里斯·布罗亚（作家、两个孩子的妈妈）育儿爸爸们大概没有不被这本书感动并产生强烈共鸣的吧！——安藤哲也（“Fathering Japan”的代表理事）",https://www.xiaohuasheng.cn/book/46785126d28080d3
青蛙头上的包,（日） 宫西达也 著；朱自强 译,《宫西达也图画书系列:青蛙头上的包》是一本给0～3岁幼儿阅读的图画故事书。雨蛙和赤蛙在树下打架。他们你一拳，我一脚，谁也不让谁。这时，田鸡走过来了，他劝他们有话好好说，不必动手打架。可是雨蛙和赤蛙听不进去，他们互相指责，动手教训着对方。这时，一阵风吹起，一个东西落了下来……等等。,https://www.xiaohuasheng.cn/book/5e0bc96b3ae8ebb9
小宝宝翻翻书,（英） 马梭·普莱斯 著；（英） 摩意拉·肯波 绘；信谊编辑部 译,"《信谊 宝宝起步走:小宝宝翻翻书(套装共4册)》既有趣又安全的圆角纸板玩具书，让孩子在翻翻玩玩中，享受寻找与发现的惊喜，并学习日常生活的重要概念。
——温柔细腻的彩色铅笔画，营造出居家的温馨气氛。给小宝宝读的第一本书，就应该这样美丽而温柔、平静而深刻！
——本套书全球畅销30年，低幼图画书引领之作。画者摩意拉 肯波已在全球已经售出超过600万册儿童书籍。",https://www.xiaohuasheng.cn/book/217fd2caee75c253
Au Lit Petit Monstre! (French Edition),Mario Ramos,"Un papa essaie de coucher son ""petit monstre"" récalcitrant, qui fait traîner les choses, réclame une histoire, a soif, saute sur son lit... Le petit lecteur s'identifie à ce ""petit monstre"", représenté sous la forme d'une sorte de bébé crocodile rigolo. Cette histoire s'adresse aux très jeunes enfants qui font durer le moment du coucher. Le récit de leurs propres agissements est toujours source d'amusement et c'est tellement bien de se reconnaître dans quelqu'un d'autre. Et puis la chute (visuelle) ne manque pas de piquant. Un incontournable. --Pascale Wester",https://www.xiaohuasheng.cn/book/2a23b3e7ab7cf1da
The Little Bear Book,Anthony Browne,"This is an animal adventure for the little white bear and his magic pencil. As bear strolls through the forest he meets a lonely gorilla, a noisy crocodile, a lion and even an elephant. They all look like they need something, so bear steps in to save the day using his magic red and yellow pencil to draw just what they were looking for. Originally published in 1988 this early work by a picture book master is available again for a brand-new audience.",https://www.xiaohuasheng.cn/book/870226f83d7186a4
幼幼成长图画书·家里的朋友们,柳原良平 著；黄超 译,《幼幼成长图画书•家里的朋友们》以孩童的视角看家中的日常事物。杯子、牙刷、毛巾、锅碗瓢盆、被子、枕头、各种玩具，都被作者赋予了生命，全都有五官，并表现出形式各异的种种表情。本书的内容都是孩子熟悉的事物，拟人化的手法很容易获得孩子的认同，剪贴的美术表现形式使得图画简洁明了。本书适合作为0-3岁孩子阅读的图画书。,https://www.xiaohuasheng.cn/book/a1946872d0e205ea
Mix and Match - Dress Up Day,"Philip Dauncey, Vicky Barker  (Illustrator) Jessica Thurlow",无简介,https://www.xiaohuasheng.cn/book/66666ac21187f89c
小熊宝宝,"佐佐木洋子, 蒲蒲兰 (Translator)",小熊宝宝（精装礼品版），ISBN：9787505615458，作者：（日）佐佐木洋子 文/图，蒲蒲兰 译,https://www.xiaohuasheng.cn/book/f8c04bbc9a6fd61e
"月亮, 晚上好",Akiko Hayashi,"重点发展视觉空间智能和自然观察智能
在这本书里，林明子用云朵遮蔽月亮，继而月亮又重现的场景和宝宝玩起了躲猫猫的游戏，更可贵的是，作者用月亮的表情变化和屋檐上的猫的反应来迎合宝宝在这一过程中的情绪体验，更加吸引宝宝的投入。阅读本书，能促进宝宝理解物体恒常性的道理，同时促进其情绪的发展。",https://www.xiaohuasheng.cn/book/bc55049aa93e74c5
可爱的鼠小弟07: 鼠小弟的生日,（日） 中江嘉男 著；（日） 上野纪子 绘；赵静，文纪子 译,《可爱的鼠小弟:鼠小弟的生日》内容简介：鼠小妹织了一件小背心，送给鼠小弟做生日礼物。她想把礼品盒包得漂漂亮亮的，可是怎么也包不好。动物们一个个登场，热心地来帮忙，费了九牛二虎（实际上是一鼠一鸭一猪一狮一马一象）之力，礼物终于包好了。可是，当大家抬起礼品盒，送给鼠小弟时，鼠小妹却惊异地发现，小背心根本就没被放进盒子里……故事进展过程中，随着一个比一个大的动物的登场，包礼物的场面越来越热闹。动物们认真卖力的表情和动作，与最后的结果之间形成的落差，使作品显得非常荒诞可笑。,https://www.xiaohuasheng.cn/book/7b299166f1fac61
一寸虫,（美） 李欧·李奥尼 著；杨茂秀 译,在人类的世界中，我们随时都会遇到许多困难，但是有很多事情并不是靠强壮的身体或力气大就可以解决的，而动动脑、用智慧来解决问题，往往会比那些外表看似强大的力量来得更有力！作者李欧·李奥尼曾四次荣获美国凯迪克大奖，他的绘本都像一则则寓言，看似简单的故事藏着不简单的智慧。,https://www.xiaohuasheng.cn/book/404b54016b01caba
原版引进意大利最经典左右脑训练工具书,（意） 朱西·瓜瑞奇（Giusi Quarenghi） 著；（意） 茱莉亚·欧瑞沙（Giulia Orecchia） 绘,"这是一套奇思妙想的图画书，每本书都有翻翻页或者透视窗，打开翻翻页小朋友会惊奇地发现“老狼”原来是鱼群、“脚印”原来是豹纹，引导小朋友尽情地发挥想象力，想一想“这会是什么呢？”、“它还可能会是什么？”，激发孩子头脑中最天马行空的想象力，观察力、思维力和创造力也会得到大大提升！
《出来吧，老狼！》：
和老狼玩捉迷藏，玩出童真童趣，玩出无限想象力！
《杰克，我一定要找到你！》：
集唯美、神奇、友爱于一体，感受视觉与心灵上的双重震撼！
《试试你的眼力吧！》：
雨伞还是水母？象鼻还是香蕉？你的观察力足够了吗？
《你相信自己的眼睛吗？》：
你所见到的未必是真实的，跟我来仔细观察，发散思考吧！
《到底谁像谁？》：
好好仔细看！打开翻翻页，见证神奇变幻，冲击惯性思维！
《就像它那样！》：
平凡生活大智慧，想象力衍生创造力！
《猜猜我遇见了谁？》：
一种形状，万种可能！感受神奇变幻，体验脑力风暴！
《咦，怎么又变了？》：
看小洞洞变魔术，体验什么是神奇，什么是炫彩！",https://www.xiaohuasheng.cn/book/eed925769750992b
中国经典童诗: 蝴蝶·豌豆花,诗歌主编/金波；绘画主编/蔡皋,《蝴蝶豌豆花》精选中国二十位诗人经典童诗，经典隽永，从诗中感受文学的魅力，从画中领悟作者的心声。是一本精美的童诗绘本。,https://www.xiaohuasheng.cn/book/91dec12c086a7902
杜莱百变创意玩具书(全5册),埃尔维·杜莱,无简介,https://www.xiaohuasheng.cn/book/bc13c982f4e34898
The Farmer’s Lunch(Collins Big Cat),Paul Shipton,"It's lunchtime and the farmer's hungry, but his lunch box is empty! He turns to all the animals on his farm for help, the sheep, cows, horses and geese, but they are all being very secretive. Are they hiding his lunch, or a much bigger and better surprise? The delightful illustrations develop the text, providing lots of points for discussion.  / Pink A/Band 1A books offer emergent readers very simple text supported by illustrations.  / Text type: A story with predictable structure and patterned language.  / A map of the farm showing all the animals on pages 14-15 helps children recap the main events of the story, and provides a wealth of speaking and listening opportunities.  / Curriculum links: Personal, Social and Emotional Development",https://www.xiaohuasheng.cn/book/b93c886ce0d96240
西瓜弟弟我爱你,（日） 丰田一彦 绘；季颖 译,"　《美味的朋友》是0~6岁孩子培养健康饮食首选图画书，日本经典幼儿食育绘本，日本当代著名女诗人、日本文坛最受瞩目的角川短歌赏获得者俵万智倾力推荐。
　　《美味的朋友》共6册，美味主人公包括饭团、鸡蛋、豆腐、纳豆、西瓜、苹果，个个形象可爱，活力十足，它们都有一段略有波折的有趣经历，积极解决问题，并用手势告诉小读者：“不用担心！”然后向小读者献上一味美食。
　　《美味的朋友》让幼儿对这样健康食品产生兴趣，帮助幼儿爱上吃饭，养成健康饮食习惯。随书附赠澳大利亚营养师协会认证督导营养师刘遂谦编写的《美味的朋友》营养手册，为小读者献上配套的实用幼儿健康美味食谱。",https://www.xiaohuasheng.cn/book/e63518ae614f755a
If I Were a Dentist (Rookie Toddler),Rookie Toddler,Fun photos and repetitive text provide a gentle introduction to what a dentist does.,https://www.xiaohuasheng.cn/book/ef3145a32de1671a
我是小狐狸,沃尔夫冈.汉恩，陈俊（译）,无简介,https://www.xiaohuasheng.cn/book/17e25981103531e3
一天中的飞机场,（英） 哈里斯 著；（英） 因科林克工作室 编；汤蒙 译,"《一天中的飞机场》(作者尼古拉斯·哈里斯)描述的是在某个飞机场里
一天中所发生的事情。《一天中的飞机场》中所有的插图都是从相同的视角
来观察的，但每一幅所表示的时间都不同。这短短的一天中发生了许多的事
情，你能把它们却找出来吗？
    为了让你能够看清楚里面的情景，作者故意隐去了候机楼的部分墙壁和
一侧的机身外壳。
    你可以追踪观察这一天中在飞机场里发生的各种事情。书页右上角的时
钟会告诉你画中情景所发生的具体时间。
    有些人和事在每一页上都会出现，请特别注意这几个：一个店员、一位
酒吧招待、一个睡觉的人和一名柜台服务员。千万别漏掉一只野狗和那几个
要抓它的人。
    你可以按照书页右侧页标上标明的不同时间来翻到你想找的那一页，这
样也有助于你比较不同的场景。注意，总有新的东西等待着你去寻找。",https://www.xiaohuasheng.cn/book/58e650b99372414d
我来给你撑伞吧,（日）长谷川摄子编文,《幼幼成长图画书:我来给你撑伞吧》下雨了，我来帮你们撑伞吧。大象是大的伞，蚂蚁是小的伞，长颈鹿需要长柄的伞……我撑起伞坐到大熊的怀里，我们一起散步吧！《幼幼成长图画书:我来给你撑伞吧》通过不断重复的句式、富有节奏感的语言，让宝宝在认知不同动物的同时，促进其语言、社会行为发展。插画家西卷茅子以接近幼儿画般朴拙、童稚的造形来画主角——穿着橘红色横条衣服和橘红色雨鞋的小男孩，这样的人物造形，很类似一、两岁幼儿绘画的特征表现。整《幼幼成长图画书:我来给你撑伞吧》全部采用蜡笔来描绘，在孩子看来非常有亲切感，因为蜡笔是孩子最常使用和熟悉的画画工具，蜡笔的效果也很适合用来表现雨天的画面。,https://www.xiaohuasheng.cn/book/7981f709610e1c02
纳豆妹妹我爱你,（日） 丰田一彦 绘；季颖 译,"《美味的朋友》是0~6岁孩子培养健康饮食首选图画书，日本经典幼儿食育绘本，日本当代著名女诗人、日本文坛最受瞩目的角川短歌赏获得者俵万智倾力推荐。
 《美味的朋友》共6册，美味主人公包括饭团、鸡蛋、豆腐、纳豆、西瓜、苹果，个个形象可爱，活力十足，它们都有一段略有波折的有趣经历，积极解决问题，并用手势告诉小读者：“不用担心！”然后向小读者献上一味美食。
 《美味的朋友》让幼儿对这样健康食品产生兴趣，帮助幼儿爱上吃饭，养成健康饮食习惯。随书附赠澳大利亚营养师协会认证督导营养师刘遂谦编写的《美味的朋友》营养手册，为小读者献上配套的实用幼儿健康美味食谱。",https://www.xiaohuasheng.cn/book/8aced3c5531ad7c1
饭团弟弟我爱你,（日） 丰田一彦 绘；季颖 译,本丛书是0~6岁孩子培养健康饮食首选图画书，日本经典幼儿食育绘本，日本当代著名女诗人、日本文坛最受瞩目的角川短歌赏获得者俵万智倾力推荐。 共6册，通过生动的童话故事，介绍饭团、鸡蛋、豆腐、纳豆、西瓜、苹果等食品的制作过程。让幼儿对它们产生兴趣，从而养成良好的饮食习惯。随书附赠《美味的朋友》营养手册。,https://www.xiaohuasheng.cn/book/69600e12030b5f4
全脑智能训练书,（比利时） 弗朗西斯科·贝托（Francesco Pittau） 著；（比利时） 伯纳黛特·热尔韦（Bernadette Gervais） 绘,此套书引自法国，充满创意和艺术感，令人惊艳。绘画精美而精确，不仅可供儿童娱乐，也可以作为动物和鸟类爱好者的收藏。每一页都是不同的发现和探索，通过辨认脚印，皮毛，鸟蛋，羽毛，孩子们在游戏中增长了知识。这两本书真正体现了寓教于乐的精神，让孩子在游戏中学到知识，培养了审美趣味。,https://www.xiaohuasheng.cn/book/6ad950b906e88c28
乘着校车去旅行,（英） 珍妮·卡布拉尔 著；（克罗地亚） 安德里亚·帕特丽珂 绘；林昕 译,这儿有一大群动物们准备登机去旅行咯！宝宝在一次次不可思议的快乐之旅中，学会识数、认知小动物、欣赏异域风情，在玩乐中不知不觉学习知识！颇具节奏感的语言、缤纷绚烂的油画色彩、奇妙欢乐的情节、稚拙童趣的对话让严谨的知识教育变得简单生动，和宝宝一起加入这奇妙的旅程吧！,https://www.xiaohuasheng.cn/book/5c9175204a2c9148
0-3岁小宝贝成长图画书·小手翻翻书: 一起洗澡吧,宫本忠夫 著；（日） 宫本忠夫 绘；于泽威子 译,游戏是最好的陪伴。在0-3岁宝宝建立安全感的重要时期，选择适合他们的图画书，与孩子进行亲子共读，对于增进亲子感情、激发宝宝的阅读兴趣具有重要意义。  《0-3岁小宝贝成长图画书·小手翻翻书》从锻炼小手精细动作出发，精选日本优秀婴儿图画书，围绕吃饭、洗澡、起床、情绪、蔬果用品、交通工具这六个小宝宝熟悉的话题，让孩子从认知身边的事物开始，逐步建立概念，培养探索的乐趣。  情节简单、篇幅较短、结构重复、富有节奏感的语言充分考虑了孩子阅读的耐心；而轮廓清晰的画面，光看图就能懂，可以让孩子体会“自己读”的成就感。  图书内含巧妙的翻页、模切设计，通过阅读与对比观察，孩子可以一个个地叫小动物起床，练习说“早上好”；可以与篮子里的物品玩“躲猫猫”游戏，形成分类意识；可以与饭碗、盘子、杯子对话，并由此爱上吃饭；可以看敞篷小汽车如何机智“变身”，成为挖土机、直升机、帆船甚至潜艇……不同分册又促进了孩子在语言表达、自然观察、人际交往等多方面智能的发展。  文后附有随书导读，结合故事内容提供养育及伴读建议，帮助爸爸妈妈深入孩子的世界，体味和他们相同的趣味。 ,https://www.xiaohuasheng.cn/book/73b5cba2ea2fe798
我是小熊,阿姆雷尔.费希纳，陈俊（译）,无简介,https://www.xiaohuasheng.cn/book/eb821e08e5fb8f67
开车出发系列二: 幻影雪原站,"（日）间濑直方  文图，彭懿, 周龙梅（译）",描述待更新，如需内文请联系客服...,https://www.xiaohuasheng.cn/book/3dc6741040dcd6e3
绿熊和红熊,（日） 入山智 绘；蒲蒲兰 译,绿熊家附近，搬来一只红熊。他们都觉得自己的颜色最棒。可是有一天，在白皑皑的雪地上，他们开始觉得对方的颜色也很漂亮。渐渐地……,https://www.xiaohuasheng.cn/book/57185241c328ae1f
大风,（瑞士） 莫妮克·弗利克斯 编,"《大风:莫妮克无字书》：我们没有任何理由低估和耽误孩子的心智成长。少买一袋奶粉，大概不会影响孩子的成长；而少看一本好书，可能会耽误孩子的终生——呵呵，一样都不能少。
当孩子读第1遍时，会享受一个有趣的故事；
当孩子读第2遍时，会懂得一种认知的方法；
当孩子读第3遍时，会学会一些有用的知识；
当孩子读第4遍时，会完成一样动手的作品；
当孩子读第5遍时，会掌握一项思考的窍门；
当孩子读第6遍时，会了解一类生活的情趣；
当孩子读第8遍时，会想像一幅美丽的图画；
……",https://www.xiaohuasheng.cn/book/7bb7c6430bdca4c5
黄色校车系列: 乘着火车去旅行,（英） 吉尔·芒登 著；（克罗地亚） 安德里亚·帕特丽珂 绘；林昕 译,"这儿有一大群动物们准备登机去旅行咯！欢迎乘坐109号航班，外面的天气状况良好，准备向着世界各地出发吧！哇，第一位乘客是谁呢？原来是一头大象呀，她来自哪里又要去往何方呢？一起来打开书页数数坐在窗户旁边的小家伙吧。
 《黄色校车系列》绘本将自然科学知识与儿童韵律诗的完美融合，带领宝宝在一次次不可思议的快乐之旅中，学会识数、认知小动物、欣赏异域风情，在玩乐中不知不觉学习知识！以多维度、多功能的阅读体验刺激儿童的全方位发展。颇具节奏感的语言、缤纷绚烂的油画色彩、奇妙欢乐的情节、稚拙童趣的对话让严谨的知识教育变得简单生动，展示了一种新奇的、轻松的、最易接受的自然教育方式。和宝宝一起加入这奇妙的旅程吧！",https://www.xiaohuasheng.cn/book/bdf8556c1030193a
交通工具变魔术(下册),（日） 古川正和 著；（日） 本信公久 绘；荣信文化 译,《超萌花样折页翻翻书:交通工具变魔术(下册)》让海陆空交通工具大集合。翻开花样折页，挖土机在工作，美味的冰激凌让人垂涎，飞机会在云上飞……宝宝不但能认识各种有趣的交通工具，锻炼动手能力，还能学到很多英语单词呢！什么车运垃圾？什么车运包裹？什么车里装着美味的冰激凌？什么车能救火？……人们的生活离不开各种各样的交通工具。,https://www.xiaohuasheng.cn/book/cadc01d795567680
Baby Animals at the Zoo (Rookie Toddler),Rebecca Bondor,Adorable photos and simple text make it easy for your toddler to learn about zoo animals.,https://www.xiaohuasheng.cn/book/14d187925aac47bf
联想游戏,（法） 帕斯卡尔·艾斯泰隆（Pascale Estellon） 著,这本图画书专为新出生的宝宝创作，全书主要由黑白两色为基调，偶然出现一些彩色的斑点，或是零星的银色。每幅画都由厚纸层压而成，让孩子亲身感知生活中事物的形状。狼和羊、游动的船、甚至还有一面镜子……将这本神奇的书送给宝宝，将会是一件非常棒的礼物。,https://www.xiaohuasheng.cn/book/7c3f69e507c00d47
加菲猫启智绘本:妖怪来啦,（美） 吉姆·戴维斯 著,"《加菲猫启智绘本:妖怪来啦》为《加菲猫启智绘本》系列的一本。讲述了加菲猫在洗澡时发现自己浑身泡泡，已经看不出本来面目了，就好像一个泡沫妖怪。于是加菲就带着一身泡沫出去吓唬朋友们，上演了一出泡沫妖怪来啦的闹剧。当一场突来的小雨淋掉加菲身上泡沫的时候，伙伴才恍然大悟，和加菲一起来玩泡沫妖怪的游戏，开心极了。相信《加菲猫启智绘本:妖怪来啦》能让孩子开心快乐的同时，还能激发他们的想象力和创意力。书中的图画采用了欢快的“1·2”“1·2”的节奏，能轻松地吸引小读者的注意力。
《加菲猫启智绘本》系列（全10册）是专门为0-3岁孩子打造的认知绘本，故事简单易懂，情节趣味生动，极具想象力，书中每个角色都生动鲜活，或天真可爱，或调皮搞怪，无不给人留下深刻的印象。《加菲猫启智绘本》在向孩子讲述一个好玩故事的同时，还融入了许多与认知相关的知识，如物品名称、颜色、形状，并渗透了关于友谊、分享、合作等情商教育。每册书还暗含很多线索，帮助在父母的引导下，自己感受探索和发现的乐趣，获得智慧的启迪。",https://www.xiaohuasheng.cn/book/ed1976a21cdf6448
冰冰和波波: 躲猫猫,[英] 乔·洛奇 著,小企鹅和小北极熊一起，刷牙、捉迷藏、溜冰等，感受生活中每一个熟悉的场景，和它们一起度过欢乐的时光。,https://www.xiaohuasheng.cn/book/efc82dde99f5efce
"爸爸, 爸爸, 爸爸",（日） 宫西达也 著,这是我社出版的启发精选国际大师名作绘本系列，适合0～3岁的儿童阅读。孩子的眼中的爸爸，在社会中，在职场上会是一个什么样的角色呢？你有没有跟孩子讨论过这个问题？宫西达也大师秉承了他一贯的幽默可爱的风格，把孩子们嘴里中“爸爸”“老爸”“爹地”等，真实而又不失童心童趣地呈现出来，书中的那些不同的职业画面，既让孩子认识了爸爸在社会中的角色，也刺激着孩子们的“精神发育”——启发孩子未来成为自己想成为的人，自由的选择做自己想做的事，并从中发现价值和意义，享受快乐与幸福。,https://www.xiaohuasheng.cn/book/c26d9eaa708245a4
"和小鸡球球一起玩: 小蝴蝶, 等一等",入山 智，崔维燕（译）,继可爱的小鸡球球系列广受欢迎的绘本后，入山 智先生继续为0-2岁小宝宝创作的充满惊喜的游戏纸板书——《和小鸡球球一起玩》，全套含《我爱妈妈》《一家人真好》《叽叽叽，是谁呀？》《小蝴蝶，等一等》《藏猫猫，藏猫猫，哇！》《答应得真好》六册，涵盖了认识动物、空间大小概念、立体的藏猫猫游戏、亲子间充满爱意的互动、礼貌回答“哎”等0-2岁宝宝在生活中逐步发展的观察力、逻辑力、语言发展和表达自己的能力、在亲子游戏中充分发挥想象力。全书采用高品质纸板对裱、安全环保油墨印刷、模切圆角，宝宝可以安心探索；同时采用了多种惊喜的工艺设计，使6册纸板书实现了25种升级的快乐玩法，爸爸妈妈可以和宝宝用“和小鸡球球一起玩”开展多种亲子游戏。每个故事贴合小宝宝的生活，自然引导宝宝开始阅读，实现亲子游戏和早期亲子阅读同步进行。,https://www.xiaohuasheng.cn/book/6214eea3e9e5e70
司马光砸缸,杨永青 绘,《大师中国绘:司马光砸缸》是我国古代儿童聪明智慧的故事绘本。有一天，故事中的小朋友们在一起玩儿捉迷藏，有一个小朋友爬到假山上，结果不小心摔了下来，正好摔到大水缸中。水缸又高又大，小孩儿很快就会被淹死。别的小朋友有的吓哭了，有的吓跑了。只有一个叫司马光的小朋友很勇敢，他急中生智，抱起地上一块大石头狠劲儿向水缸砸去，水缸破开了，水哗哗的流了出来，缸中的小孩儿得救了。司马光机智勇敢的举动，受到了大家夸奖。由于司马光从小勤奋好学，又喜欢读历史书籍，使得他博学多闻，二十岁时考中了进士。他在朝中做官期间，努力收集历史资料，经过几十年的努力，最后编成了《资治通鉴》，后来还当过宰相。他也成了我国宋代有名的史学家。小朋友们，你们应当从中受到启发和鼓舞，激励自己从小爱学习，培养机智勇敢的品德。,https://www.xiaohuasheng.cn/book/16dbd1d101edc120
