标题,作者,图书简介,链接
Busy zoo,"Mandy Archer, Ian Cunliffe","A wonderful lift-the-flap Busy Book from Ladybird: Busy Zoo. All busy toddlers will love exploring this bright lift-the-flap board book from Ladybird. Looking at the pictures together and talking about what is happening will help your child to develop observation and early language skills. Follow Keeper Katie as she works in the busy zoo. From scrubbing the elephants to feeding the penguins, there is always so much for a busy zookeeper to do. With simple rhyming text, robust flaps to lift (up to four per page!), labelled pictures and a ladybird to spot on every page, there is plenty to keep young children entertained, too!",https://www.xiaohuasheng.cn/book/1116656481301142
创意大师洞洞翻翻启蒙纸板书: 5个小苹果,（日） 米津祐介 著；张瑜珈 译,[创意大师洞洞翻翻启蒙纸板书 5个小苹果 双语版],https://www.xiaohuasheng.cn/book/5e53031b4e1e2c7c
Alphabet Ice Cream,"Sue Heap, Nick Sharratt",无简介,https://www.xiaohuasheng.cn/book/22e0ed17867deb20
"Baa, Baa, Black Sheep: Ladybird Touch and Feel Rhymes",Ladybird Books,"This collection of five animal nursery rhymes includes Baa, Baa, Black Sheep, Incy Wincy Spider, This Little Piggy, Hickory Dickory Dock and Little Bo Peep. Little hands will find stimulating pictures and interesting textures such as a soft woolly sheep, a fluffy spider and a silky little pig in this bright board book. There is a fun question for each rhyme to share with your toddler.",https://www.xiaohuasheng.cn/book/dab6207c716dd597
宝宝的量子物理学,[加]克里斯·费利 著；宝蛋社 译,在学前幼儿园读物排行榜TOP10中，该套绘本占据了5席。《宝宝的量子物理学》由于扎克伯格给自己出生不久的女儿“阅读”而名声大噪。,https://www.xiaohuasheng.cn/book/177c14fd231a7758
Maisy's Hide-and-seek (A Maisy Sticker Book),Lucy Cousins,"If you're crazy for Maisy, then you'll love this delightful sticker book reissue - a gentle interactive celebration of Easter that will be a fantastic addition to any child's collection. Maisy is having a hide-and-seek party! She has hidden lots of Easter presents all around the garden for her friends to find. Use the stickers to join in and discover lots of yummy chocolate treatal. There is a bright new cover design for a favourite Maisy sticker book. With dozen of stickers included, this is a perfect gift for little Easter baskets.",https://www.xiaohuasheng.cn/book/e57b02fbbc717c47
Dinosaur Roar! SINGLE SOUND BOARD BOOK,"Henrietta Stickland, Paul Stickland",The classic dinosaur title in an exciting format with a sound button to press so the dinosaur can roar along with the story. Dinosaur Roar! the iconic and bestselling book by Henrietta and Paul Stickland first published in 1994 is now considered to be a modern classic that should be in every preschool child's library. The rhyming text and eye-catching illustrations are a wonderful way to introduce dinosaurs to even the smallest children. Every dinosaur is accurately depicted and the book carries the endorsement of the Palaeontology Department at the Natural History Museum.,https://www.xiaohuasheng.cn/book/1ccd3917cabbf01e
"One, Two...Boo!","Kristen L. Depken, Claudine Gévry (Illustrator)","The littlest trick-or-treaters can lift the flaps to count their way through a spooky old house . . . but they had better be prepared for a few surprises! With a die-cut cover, adorable illustrations, and a flap on every page, this sturdy little board book is the perfect Halloween gift for trick-or-treaters everywhere.",https://www.xiaohuasheng.cn/book/41ba6c2a081ec780
Hug,Jez Alborough ,"Ever feel like you need a hug? A really big hug from someone who loves you? That's how Bobo, the little chimp in this book, feels. Walking through the jungle he passes lots of creatures enjoying a cuddle together: elephants, chameleons, lions, giraffes, hippos - even the snakes have got someone special to squeeze. But poor Bobo is alone. Will he ever find the hug he needs? Using only the single word ""hug"" throughout the book, this simple, endearing story is told through Jez Alborough's gorgeous, detailed artwork.",https://www.xiaohuasheng.cn/book/2312c9d72fec2e42
"bear and hare ,snow",Emily Gravett,无简介,https://www.xiaohuasheng.cn/book/19e5339e97dea1c1
My Bus,Byron Barton,"Climb on board the 123 bus!
One bus plus one bus driver plus ten bus riders and lots of bus stops equals a busy day of driving, riding, flying, and sailing for everyoneespecially you!",https://www.xiaohuasheng.cn/book/c0ce19b250e10640
小波去上學,无作者,无简介,https://www.xiaohuasheng.cn/book/a3250bf186687cd9
ABC幼儿双语启蒙认知绘本全8册,赵君 著,《ABC幼儿双语启蒙认知绘本》有针对性地选取了八个与日常相关的基础认知方向（数字、形状、颜色、分类、感觉、方位、对比、服饰），通过有趣的故事和鲜艳的色彩，能够刺激宝宝的视觉与想象力，全方位锻炼孩子的认知能力。中英双语，英语为主，重点词汇突出，内容浅显易懂，能够让宝宝从认知开始就接触基础的英语词汇，在认知中提升语感，进行左右脑思维开发训练，同时拥有双母语。,https://www.xiaohuasheng.cn/book/6679f8c714aa5949
Maisy's Christmas (A Maisy Sticker Book),Lucy Cousins,"If you're crazy for Maisy then you'll love this colourful Christmassy sticker book! Spend the day with Maisy and her friends, busy getting ready for Christmas. Help them to wrap the lovely presents, cook a scrumptious dinner and decorate the tree. Match the stickers to the pictures for some fabulous festive fun with Maisy! This is a delightful and gentle interactive celebration of Christmas that will please all Maisy fans.",https://www.xiaohuasheng.cn/book/af581ebecbf6f01b
Inside Freight Train,Donald Crews,"Here comes the freight train! In this new sturdy sliding board book, Caldecott Award winner Donald Crew takes children right on board as they slide open the doors to see what's inside each train car.",https://www.xiaohuasheng.cn/book/af4d8f9340a69b19
Chocolate Mousse for Greedy Goose,Julia Donaldson 著；Nick Sharratt 绘,"Learning good table manners has never been this much fun!          ""Chocolate mousse!"" says greedy Goose. ""Don't just grab it,"" says angry Rabbit.    Good manners are not on the menu at this meal. Duck won't eat his carrots. Moth's eating the cloth, and Sheep would rather sleep than wash the dishes. Thank goodness some of the animals know how to behave. Children's favorite foods and animals are combined in delicious rhyming phrases, making this story of the funniest dinner party ever perfect to read aloud.",https://www.xiaohuasheng.cn/book/f6b74d060f766efb
Busy town,"Mandy Archer, Ian Cunliffe",司机Daisy每天都要开车往返小镇和郊区，坐上她的公交车你会欣赏到小镇的其他风情….,https://www.xiaohuasheng.cn/book/d158f8c8a99d86da
Dr.Seuss' ABC,Dr. Seuss,"Book Description 
From Aunt Annie's alligator to the colourful Zizzer-Zazzer-Zuzz, Dr. Seuss's delightful book introduces early learners to the letters of the alphabet through an amazing array of crazy creatures. With his unique combination of hilarious stories, zany pictures and riotous rhymes, Dr. Seuss has been delighting young children and helping them learn to read for over fifty years. Creator of the wonderfully anarchic Cat in the Hat, and ranked among the UK's top ten favourite children's authors, Seuss is firmly established as a global best-seller, with nearly half a billion books sold worldwide. As the first step in a major rebrand programme, HarperCollins is relaunching 17 of Dr. Seuss's best-selling books, including such perennial favourites as The Cat in the Hat, Green Eggs and Ham and Fox in Socks. In response to consumer demand, the bright new cover designs incorporate much needed guidance on reading levels, with the standard paperbacks divided into three reading strands - Blue Back Books for parents to share with young children, Green Back Books for budding readers to tackle on their own, and Yellow Back Books for older, more fluent readers to enjoy. Dr. Seuss's ABC belongs to the Blue Back Book range.",https://www.xiaohuasheng.cn/book/45d36b56cf0024bd
Lift the Flap First 100 Words (Scholastic Early Learners),Scholastic Inc. MRS T S MARSHALL Angela Hayhurst,"A beautiful, photographic book aimed at helping children link words and pictures and improve their vocabulary. Visual surprises and extra words under the sturdy flaps encourage children to lift and learn.",https://www.xiaohuasheng.cn/book/8246fb1d80e34850
"Faster, Faster, Nice and Slow","Nick Sharratt, Sue Heap","This is a third title in this superb series by award-winning best friends, Sue Heap and Nick Sharratt. Here is the perfect way to learn about opposites. Whether it's a quiet cat and a noisy dog, a freezing cold or a hot and sunny day or a super fast leopard and a family of slowly-slow snails, Sue and Nick introduce all sorts of opposites in an engaging and memorable way.",https://www.xiaohuasheng.cn/book/2ffa675cc578beea
Maisy's Day,Lucy Cousins,"This sticker book accompanies the Maisy lift-the-flap, pull-the-tabs books.",https://www.xiaohuasheng.cn/book/f65168e371db048b
"Puppet books Child's play: Don't You Dare, Dragon!",Annie Kubler,"All Dragon wants to do is cool down and have a little fun, but every time he tries, he ruins it for everyone else! Thankfully, he finds some friends who need exactly what Dragon does best.",https://www.xiaohuasheng.cn/book/e49d9de8ca79248d
Moo Baa La La La,Sandra Boynton,"Serious silliness for all ages. Artist Sandra Boynton is back and better than ever with completely redrawn versions of her multi-million selling board books. These whimsical and hilarious books, featuring nontraditional texts and her famous animal characters, have been printed on thick board pages, and are sure to educate and entertain children of all ages.",https://www.xiaohuasheng.cn/book/110c87f3c9cdbddb
"Go, Dog. Go!",P.D. Eastman,"Whether by foot, boat, car, or unicycle, P. D. Eastman's lovable dogs

demonstrate the many ways one can travel. The new text emphasizes the concept

element of the original while maintaining its rhythm and charm.",https://www.xiaohuasheng.cn/book/2cc32f236862b7d0
Leslie Patricelli: Tubby,Leslie Patricelli ,"Hooray! SPLASH! Leslie Patricelli’s beloved Baby is back! 

It’s time for a bath! Whee! And Baby obliges as only he can, playing with bubbles (and using them to make facial disguises from Santa’s beard to bunny ears), imitating a motorboat, and letting Mommy wash his single hair. And what would tubby time be without running away naked and shiny clean—only to be scooped up and tickled? A beloved bedtime ritual takes on new joy in Leslie Patricelli’s bright artwork, exuberant language, and simple, familiar scenes.",https://www.xiaohuasheng.cn/book/22eacd63e0616191
Little Mouse on the Big Farm (Shaped Flip Books),Annabel Blackedge（Author）,"Follow Little Mouse as he scurries through the farm where he meets a big cow, a fluffy sheep, a muddy pig and a feathery mother hen... before deciding to take a nap! With shaped `flip-and-see' pages, captivating animal characters and a red tractor to spot on every page, this simple, fun story is a perfect introduction to farm animals for young explorers. Also in this series: Little Fish in the Big Ocean, Little Frog in the Big Jungle and Little Bird on a Big Safari. Suitable for babies, toddlers and children from 1 year old.",https://www.xiaohuasheng.cn/book/13c5df05379a65b9
I Like Me (Picture Puffin),Nancy Carlson ,"""Little ones in need of positive reinforcement will find it here. An exuberant pig proclaims 'I like me!' She likes the way she looks, and (all her) activities . . . when she makes a mistake she picks herself up and tries again.""--Booklist. Full color.",https://www.xiaohuasheng.cn/book/eeda50a391c1a89e
My Very First Book of Words,Eric Carle,"Can you tell how many cherries there are? How many apples? In the brilliantly  colorful  My Very First Book of Numbers,  children can find the number  of fruits in the bottom half of a page that matches the number of boxes and  numerals in the top half. In My Very First Book of Words, children can match  the picture in the bottom half with the word in the top half. Which one is  the car? Which one is the fish? Only you can match them. Children will  love solving the puzzles of these clever, vibrant books.",https://www.xiaohuasheng.cn/book/a0ac30c4fafc0c51
Ten Tiny Toes,Caroline Jayne Church,"Caroline Jayne Church brings her adorable toddler art and lovely rhymes to this joyful twist on the tried-and-true classic, HEAD, SHOULDERS, KNEES, AND TOES. From ears that wiggle to bellies that giggle, TEN TINY TOES is sure to inspire little ones as they learn to celebrate their ""mouth, ears, eyes, nose, and a love that grows and grows.""",https://www.xiaohuasheng.cn/book/5632e8704a1d637
Spot's Show and Tell  小波看图识字,Eric Hill 著,"Steve and Spot are trying to think of something special to take to school show and tell. What will they take? A marble collection, an autumn leaf? Eventually they find just the perfect thing. Spot takes a painting he's done of Steve and vice versa.

 
length: (cm)17    　　　            　　　　　            　　　　　 width:(cm)11.4",https://www.xiaohuasheng.cn/book/da3132ab0d9ccb3b
Big Cat,Cliff Moon 编,"“柯林斯大猫系列”将以独特的多重感官初级阅读教程培养孩子持久的阅读兴趣。本系列图书渗透了各种阅读技巧训练，同时鼓励孩子多思考，以此培养孩子准确、流利阅读的能力，同时将外国儿童教育的先进思维方式合理的运用在英语阅读中，使孩子在享受阅读的乐趣的同时，轻松完成英语学习。
研究发现4-5岁儿童，是接受各种事物的最佳时期，形象知觉发展最敏感，机械记忆能力也较强，抽象、逻辑思维能力开始发展，好奇心、求知欲望较强烈，肌肉的灵活性及用眼的协调性增强。他们需要通过感觉、知觉以及各种活动来探索世界，建立对周围环境的认识和概念， “柯林斯大猫系列”针对这一特点，设计了粉色和红色两套图书，每套图书又分A和B两个分支，A砸实基础，B稳步提高，由浅入深，完成对孩子注意力、观察力、记忆力和思维力的全面培养，扎实基础，让英语学习和思维训练同时进行。 
“柯林斯大猫系列”红色套书中，将逐渐涉及一些较复杂的单词和句子，将粉色系列中所学习到的知识融合起来，通过构建各个事物的关系知识网，引导孩子学会使用较难的英语句子，如《风在哪里（where is the wind）》，通过小鼹鼠找风的故事，让孩子温习了关于动物的各类“名词”和“看”这个动词，同时孩子还将学习到疑问句和风是看不到的这个道理，由浅入深，让英语学习符合适龄儿童思维发展过程，科学有效的进行英语学习，轻松度过英语学习的困难期。
 “柯林斯大猫红色系列”A、B两套各包括14本全彩故事书、两本父母指导手册（英汉各一本）和学习CD一张。
Red B 
Tec and the Litter             《侦探泰克和垃圾》     ISBN 0-00-718565-0
Tec the detective decides to find out where some litter has come from. 侦探泰克决定要找出垃圾是从哪里来的。

Ben and Bobo                   《阿本和波波》         ISBN 978-0-00-732920-5
Ben and Bobo are painting, but Bobo is very clumsy and things keep going wrong. 阿本和波波在画画。但是波波很笨，所以一直做错事。

Super Ben                      《超级阿本》           ISBN 978-0-00-718656-3
There’s a shark in the duck pond, aliens at the roundabout and even a monstrous toad in the puddle. 鸭池糖里出现了鲨鱼，外星人出现在旋转盘，甚至在泥潭里还有一只巨大的癞蛤蟆。

Where is the Wind?             《风在哪儿》           ISBN 0-00-718566-9
Mole sets out to see the wind. He sees Bee blowing about, he sees a packet blowing over Mouse and he sees Toad blowing about on a reed, but he doesn’t see the wind! 鼹鼠打算去找风。他看见蜜蜂被吹得到处乱飞，他看见一个小包吹在老鼠头上，他还看见癞蛤蟆被吹得在芦苇上乱晃，可是他却没有看见风！

Pirates                        《海盗》               ISBN 0-00-718561-8
A band of pirates are searching for some hidden treasure. One by one, they get into trouble and make a hasty retreat back to the pirate ship. 一群海盗在寻找一些隐藏的宝藏。一个个地，他们陷入了麻烦，只能匆忙地撤退回海盗船上。

Woody’s Week                  《伍迪的一周》         ISBN 0-00-718560-X
Woody decides he can’t wait for his dad to build his playhouse. Especially since the gift comes in a box large enough to design a house of his own! 伍迪决定他不能等爸爸来造他的游戏室了，特别是有一个礼物盒大得足以让他自己设计一个房子的时候。

What’s For Breakfast?         《早餐吃什么？》       ISBN 0-00-718668-1
Three hungry ants send their dad out to hunt for food but aren’t satisfied by what he brings back! 三只饥饿的蚂蚁让他们的爸爸出去找吃的，可是却对他带回来的食物很不满意！

At the Dump                    《垃圾场》             ISBN 0-00-718563-4
Explore recycling on a visit to the dump, in this illustrated non-fiction book 在这本插图版的非小说书内，通过对垃圾场的寻访来认识可回收物质

Bones                          《骨头》               ISBN 978-0-00-732921-2
What bones have you got in your body? Where are they? Are they big or are they small? Find out all about the different bones in your body in this simple information book 在你的身体里有些什么骨头呢？它们都在哪里，是大还是小？在这本简单的信息图书里找出在你身体里的骨头的所有不同之处。

What Are You Making?           《你在制作什么？》     ISBN 978-0-00-718657-0
Piece by piece, the children make something that is finally revealed as an amazing monster 一点点地完成，最后，小朋友们做的原来是一个让人大吃一惊的怪物！

The Oak Tree                   《橡树》               ISBN 0-00-718562-6
What lives in, on or under the oak tree? Find out in this simple non-fiction book. 是什么住在橡树里面，外面或橡树下呢？在这本简单的非小说图书内找出答案吧。

Let’s Go Shopping             《我们去购物吧》       ISBN 0-00-718567-7
Using a combination of artwork and photographs, this colourful book takes children through the experience of shopping for trainers, books, bread and all sorts of things. 利用插图和照片和结合，这本鲜艳生动的图书带领孩子们去购买运动鞋，图书，面包和其它各种各样物品。

What do you like?              《你喜欢什么？》       ISBN 0-00-718564-2
What types of food do you like to eat, and when? A simple non-fiction text that examines food and mealtimes. 你喜欢吃什么食物，并且在什么时候吃呢？让简单的文字来检查你喜欢的食物和进餐时间吧。

My Exercise Diary              《我的运动日记》       ISBN 0-00-718669-X
Follow a week in the life of a boy who loves to run, swim, rollerblade and trampoline in this simple non-fiction recount, illustrated with action-packed photographs. 在这本既有插图也有内容丰富有趣的照片的非小说图书内，跟随一个爱运动的小男孩一起进行一周的运动吧：跑步，游泳，滑旱冰和蹦床。

Talking Books (CD)                                    ISBN 978-0-00-742171-8

Collins Big Cat is the primary reading series with a difference!Edited by Cliff Moon, the series contains over 300 book-based titles from award-winning children's authors and illustrators, 50% fiction and 50% non-fiction. Collins Big Cat provides exciting stories and an unparalleled range of engaging non-fiction titles all beautifully illustrated and printed in a range of shapes and sizes.Bring variety and excitement back into reading by providing children with a REAL reading experience so they become life-long readers.Collins Big Cat includes:150 engaging non-fiction titles;116 engaging story books;23 high-performing playscripts;32 fun phonics readers;11 inspiring poems and poetry collections;Talking Books;Digital resources;Parent Guide for China readers.",https://www.xiaohuasheng.cn/book/f4cee0aab32316d6
Sing Along with Me! Twinkle Twinkle Little Star,Yu-Hsuan Huang,"This new series of bright, slider board books featuring perennially popular nursery rhymes bursts with energy and cheering illustrations.Each book also comes with five slider mechanisms, and both an instrumental and vocal version of the nursery rhyme - simply scan the QR code on the first page for little ones to listen and sing along!",https://www.xiaohuasheng.cn/book/65119d661c572fe2
创意大师洞洞翻翻启蒙纸板书: 方形,（日） 米津祐介 著；张瑜珈 译,[创意大师洞洞翻翻启蒙纸板书 方形 双语版],https://www.xiaohuasheng.cn/book/182e2f335daf83b4
Peppa Pig: Fairy Tale Little Library,Holowaty,"This cute ""Little Library"" includes six mini ""Peppa Pig"" classic fairy tale adventure books in a beautiful slipcase box. Join Princess Peppa Pig and Prince George in their wonderful fairy tale castle up in the clouds and read their stories time and time again. Based on the number one children's TV show ""Peppa Pig"", this lovely set of books is perfect for presents, pocket money and party bags.",https://www.xiaohuasheng.cn/book/337edd0baec4ccbf
Maisy's Bedtime,Lucy Cousins,"Join the adorable little mouse and her friends in this new board book version of the classic picture book Maisy's Bedtime, in which Maisy has one or two things she must do before she can go to sleep...Very young children will love to read this story at their own bedtime, before snuggling up with the delightful Maisy plush doll, decked out in her brand-new outfit!",https://www.xiaohuasheng.cn/book/6d0446ac1bfa5065
小熊很忙: 圣诞小帮手,（英） 本吉·戴维斯 著 张昭 喻之晓 译,[圣诞小帮手],https://www.xiaohuasheng.cn/book/97223fd40810ab31
funny shapes,Daniella. P. K,无简介,https://www.xiaohuasheng.cn/book/809c77292b705718
Blankie,Leslie Patricelli ,"A comically expressive tot pays tribute to the all-important Blankie in a bright, playful board book sure to have instant toddler appeal.
 

Anyone who's spent time with a toddler knows that few crises compare with the (even temporary) loss of a favorite blankie. Here, in her humorous, bold graphic style, Leslie Patricelli plays up this scenario, surely near and dear to every toddler's heart.  BLANKIE is an affectionate ode to that special object that comforts many a child through the dramas of each day.",https://www.xiaohuasheng.cn/book/ee7784e4b0761446
I am an apple,Jean Marzollo,It starts with a seed and grows. Apples are delicious and can be used to make many tasty things.,https://www.xiaohuasheng.cn/book/f2cde1c59172f48c
Doctor Maisy,Lucy Cousin,无简介,https://www.xiaohuasheng.cn/book/ed3613dec0977878
Hop! Hop!,Leslie Patricelli ,The inimitable Baby brings a humorous spin to the holidays in in board book fit for Easter baskets. The Easter Bunny is coming! It’s time to dye eggs. Did you know that red and blue make purple? That blue and yellow make green? That an art project may result in a multicolored Baby? There are bunny ears to wear (for the dog and cat， too) and an Easter basket to put out before bedtime. What will Baby find inside it the next morning?,https://www.xiaohuasheng.cn/book/860bed87c37f3627
Hooray for Fish!,Lucy Cousins,"""A book that’s certain to make an impressive splash, whether read to one youngster or an entire storytime circle."" —- PUBLISHERS WEEKLY 

Paddle along with Little Fish on a mesmerizing tour of friends spotty and stripy, happy and gripy, hairy and scary, even curly-whirly and twisty-twirly. From the creator of Maisy comes an undersea riot of color and rhyme — an eye-popping read-aloud sure to have little ones joining the chorus: Hooray for fish!",https://www.xiaohuasheng.cn/book/3d6ed2cdba03fd9f
Maisy Tidies Up,Lucy Cousins,"For Maisy, even cleaning up can be fun - if you have a friend stop by to help. In MAISY CLEANS UP, Charley smells something delicious in Maisy’s kitchen but has to wait until the floor is dry. Time passes more quickly when he pitches in to pick up some toys, and washing the windows is a cinch with Charley inside and Maisy out. Now the floor is finally dry, and there are the treats, all ready to eat. Good job! A story for parents to love as much as kids!",https://www.xiaohuasheng.cn/book/9aea025fc9ea96eb
Maisy Makes Lemonade,Lucy Cousins,Maisy Makes Lemonade,https://www.xiaohuasheng.cn/book/46525695f8683484
Counting Rhymes,Felicity Brooks（费莉西蒂·布鲁克斯） 著；Giuliana Gregori（朱丽安娜·格雷戈里） 绘,"Six delightfully illustrated rhymes to help babies and toddlers learn to count. Includes the rhymes  Two little eyesA"",  The animals went in two by twoA"",  Three little lambsA"",  One, two, three, fourA"",  Five little ducksA"" and  Ten little monkeysA"". Strong picture tabs allow favourite rhymes to be located quickly and easily.",https://www.xiaohuasheng.cn/book/bbb59c663e17f180
Tales from Acorn Wood: Fox's Socks and Rabbit's Nap,"Julia Donaldson, Axel Scheffler (Illustrator)","With sturdy flaps on every spread and rhyming stories that are a joy to read aloud, the Tales From Acorn Wood have been delighting both parents and toddlers for fifteen years. In Tales From Acorn Wood: Fox's Socks and Rabbit's Nap, two of the popular lift-the-flap stories from the creators of The Gruffalo, Julia Donaldson and Axel Scheffler, are together in paperback for the first time, with a beautiful foiled cover look.  Rabbit is trying to get to sleep, but everyone is being so noisy. Lift the flaps and find out who is keeping Rabbit awake. Then join Fox in a hunt for his missing socks. Are they in the kitchen or under the stairs? Are they inside the clock or hidden in a chest?  Lift the flaps and find out!  Look out for Tales From Acorn Wood: Hide-and-Seek Pig and Postman Bear, also available as a two-books-in-one paperback.",https://www.xiaohuasheng.cn/book/387b0e7c38dd1a30
Spot Goes to School (Spot Lift the Flap),Eric Hill,"""The easy, breezy text and visuals combine to make an irresistible adventure for little boys and girls"".--Publishers Weekly. Full-color illustrations. (Baby-Preschool)",https://www.xiaohuasheng.cn/book/6d8a8bc6ababb67c
Maisy goes camping,无作者,无简介,https://www.xiaohuasheng.cn/book/f16b59e864eada55
小兔听听听,（美） 玛格丽特·怀兹·布朗 著；（美） 丽莎·麦库 绘；李海颖 译,"玛格丽特·怀兹·布朗编著的《小兔听听听》介绍了，一个阳光灿烂的早晨，在一片生机盎然的草地上，小兔醒了。他听见了什么呢？
    这本至臻至美的朗读绘本的作者还创作了著名的《晚安，月亮》，书中生动细腻的插图则由广受好评的插画家丽莎·麦库绘制。",https://www.xiaohuasheng.cn/book/f3bdb594677bea1c
Petr Horcek Choo Choo,Petr Hor'cek,基本信息    商品名称：出版社：出版时间： 作者：译者：开本： 定价：页数：印次： ISBN号：商品类型：版次： 1,https://www.xiaohuasheng.cn/book/10f0d3c1a60d3235
Owl Babies,"Martin Waddell, Patrick Benson","Three baby owls, Sarah, Percy and Bill, wake up one night in their hole in a tree to find that their mother has gone. So they sit on a branch and wait. Darkness gathers and the owls grow anxious, wondering when their mother will return. But, at last, she does, and they bounce up and down with joy, welcoming her home. Martin Waddell has won The Smarties Book Prize for ""Can't You Sleep Little Bear?"" in 1988. ""Farmer Duck"" was shortlisted for the Emil/Kurt Maschler Award in 1991, as was ""The Hidden House"" in 1990, having won the award in 1989 for ""A Park in the Dark"". ""Rosies Babies"" won the Best Book for Babies Award in 1990, and was also shortlisted for the 1991 Kate Greenaway Medal. Other titles include ""The Tough Princess"", ""Let's Go Home"", ""Little Bear"", ""Amy Said"", ""Once There Were Giants"", ""We Love Them"", ""The Happy Hedgehog Band"", ""Squeak-A-Lot"", ""The Toymaker"", ""The Pig in the Pond"" and ""Sailor Bear"".",https://www.xiaohuasheng.cn/book/281aa27f17755c3f
Maisy's Bathtime,Lucy Cousins,"These cloth books are soft and safe for the youngest baby.

These wordless, cuddly, soft cloth books are the perfect very-first Maisy books. Familiar occasions—taking a bath, going to bed, and much more—are wonderfully appealing to the youngest child when they're shared with everyone's favorite mouse.",https://www.xiaohuasheng.cn/book/279e4fbc8221f3e5
I'm A Seed,"Jean Marzollo, Judith Moffatt (Illustrations)","With inspiring and educational stories, Scholastic's Hello Reader series caters to the spectrum of reading abilities among beginning readers. My First Hello Readers use basic words to reinforce phonics and sight vocabulary. The books at this level offer punch-out flash cards plus six additional pages of skill-building activities. Levels 1 - 4 combine a greater vocabulary and longer sentence length. Each book has an introductory letter from an education specialist guiding parents on how to help their children learn to read. Preschool - Kindergarten.",https://www.xiaohuasheng.cn/book/c9a5ad16b3ea0967
