基本信息,现价,原价,时间,里程,年份,排量
本田 思域 2016款 220TURBO CVT豪华版,13.10万,15.19万,2019年,3.1万公里,2016款,1.5T
大众 2016款 途安L 280TSI 自动舒适版,10.98万,20.28万,2017年,8.8万公里,2016款,1.4T
大众 尚酷 2011款 1.4TSI 单增压风尚版(进口),8.90万,25.60万,2012年,8.0万公里,2011款,1.4T
别克GL8 2017款 ES 28T 豪华型 国V,29.00万,40.15万,2017年,2.8万公里,2017款,2.0T
英菲尼迪Q50L 2016款 2.0T 悦享版,19.30万,33.63万,2017年,5.4万公里,2016款,2.0T
大众 朗逸 2013款 1.4TSI DSG舒适版,5.50万,16.05万,2012年,15.8万公里,2013款,1.4T
大众 途观 2016款 280TSI 自动两驱丝绸之路风尚版,13.50万,21.14万,2019年,1.4万公里,2016款,1.4T
宝马5系新能源 2015款 530Le,28.50万,75.83万,2016年,7.3万公里,2015款,2.0T
奔驰C级 2010款 C 180K 经典型,8.50万,33.43万,2011年,13.7万公里,2010款,1.6T
别克 君威 2015款 1.6T 领先技术型,8.78万,20.61万,2016年,6.2万公里,2015款,1.6T
现代ix25 2017款 1.6L 自动智能型,8.68万,14.42万,2017年,1.4万公里,2017款,1.6L
斯柯达 晶锐 2012款 1.4L 自动晶致版,3.38万,9.87万,2011年,11.1万公里,2012款,1.4L
Jeep 指南者 2017款 200T 自动家享版,10.20万,19.52万,2017年,5.5万公里,2017款,1.4T
现代 索纳塔九 2016款 2.0L hybrid HS领先型,10.98万,24.94万,2017年,3.3万公里,2016款,2.0L
路虎 神行者2 2011款 3.2L i6 HSE汽油版(进口),12.80万,71.42万,2011年,14.8万公里,2011款,3.2L
奔驰GLK级 2013款 改款 GLK 300 4MATIC 时尚型,19.98万,52.65万,2014年,14.3万公里,2013款,3.0L
奥迪A4L 2015款 45 TFSI quattro个性运动型,17.50万,38.32万,2015年,6.3万公里,2015款,2.0T
奔驰GLC级 2019款 GLC 260 L 4MATIC 动感型,37.50万,45.57万,2019年,1.1万公里,2019款,2.0T
现代 朗动 2015款 1.6L 自动领先型,6.80万,13.87万,2016年,2.5万公里,2015款,1.6L
本田 雅阁 2016款 2.0L 舒适版,13.68万,19.52万,2017年,11.2万公里,2016款,2.0L
捷豹E-PACE 2018款 P200 S 国VI,24.80万,34.28万,2020年,200公里,2018款,2.0T
本田 缤智 2015款 1.5L CVT两驱舒适型,9.35万,14.85万,2015年,7.6万公里,2015款,1.5L
大众 宝来 2019款 280TSI DSG精英型,10.50万,16.17万,2018年,3.3万公里,2019款,1.4T
雷克萨斯CT 2012款 CT200h 领先版,10.80万,36.80万,2012年,10.0万公里,2012款,1.8L
MINI 2013款 1.6L ONE 限量第一款,9.49万,25.73万,2014年,8.7万公里,2013款,1.6L
奥迪A4L 2013款 35 TFSI 自动标准型,12.98万,33.63万,2013年,8.9万公里,2013款,2.0T
奥迪A4L 2013款 35 TFSI 自动标准型,13.80万,33.63万,2013年,11.2万公里,2013款,2.0T
东风风神AX7 2016款 2.0L 自动智悦型,6.20万,12.99万,2017年,9.7万公里,2016款,2.0L
奥迪A4L 2015款 35 TFSI 自动标准型,17.80万,33.95万,2015年,6.7万公里,2015款,2.0T
福特 翼虎 2017款 EcoBoost 180 两驱虎跃型,11.20万,21.69万,2017年,3.2万公里,2017款,1.5T
MINI 2011款 1.6L ONE,8.98万,24.42万,2012年,8.9万公里,2011款,1.6L
本田 歌诗图 2012款 2.4L 豪华版,12.80万,28.20万,2014年,6.8万公里,2012款,2.4L
捷豹XF 2009款 XF 3.0L V6豪华版,12.80万,75.77万,2011年,16.0万公里,2009款,3.0L
林肯大陆 2017款 2.0T 两驱尊享版,24.50万,45.46万,2018年,4.6万公里,2017款,2.0T
本田 奥德赛 2015款 改款 2.4L 舒适版,16.30万,24.94万,2015年,11.6万公里,2015款,2.4L
荣威RX5 2016款 20T 两驱自动互联网智享版,7.69万,16.15万,2017年,5.0万公里,2016款,1.5T
宝马3系 2017款 320Li M运动型,24.80万,38.41万,2017年,3.7万公里,2017款,2.0T
凯迪拉克SRX 2014款 3.0L 舒适型(进口),13.60万,46.65万,2014年,11.9万公里,2014款,3.0L
奔驰E级 2015款 E 200 L 运动型,22.80万,46.57万,2014年,12.9万公里,2015款,2.0T
奥迪A6L 2018款 30周年年型 30 FSI 风尚型,32.80万,50.34万,2018年,4.9万公里,2018款,2.5L
吉利 远景 2017款 1.5L 手动幸福版,3.08万,6.39万,2017年,7.8万公里,2017款,1.5L
奥迪Q2L 2018款 35TFSI 时尚致雅型 国VI,17.98万,25.68万,2019年,1.1万公里,2018款,1.4T
沃尔沃C30 2012款 2.0L Aktiv 炫动套装版(进口),5.88万,27.12万,2012年,6.0万公里,2012款,2.0L
大众 凌渡 2019款 280TSI DSG舒适版 国V,12.88万,19.64万,2019年,4.6万公里,2019款,1.4T
奥迪Q5L 2018款 40 TFSI 荣享时尚型 国VI,33.80万,44.92万,2019年,3.6万公里,2018款,2.0T
英菲尼迪QX50 2018款 2.0T 两驱时尚版,24.20万,38.08万,2019年,2.7万公里,2018款,2.0T
丰田 亚洲龙 2019款 2.0L 豪华版,19.50万,23.64万,2019年,2.0万公里,2019款,2.0L
奥迪A3 2014款 Limousine 35 TFSI 自动进取型,10.60万,22.35万,2015年,5.9万公里,2014款,1.4T
吉利 缤越 2019款 运动款 260T DCT游侠 国V,8.28万,11.81万,2019年,2.3万公里,2019款,1.5T
大众POLO 2013款 1.6L 自动舒适版,4.56万,12.15万,2013年,7.8万公里,2013款,1.6L
别克GL6 2018款 18T 6座尊贵型,11.00万,18.12万,2018年,4.7万公里,2018款,1.3T
宝马X1 2018款 sDrive20Li 领先型,23.90万,34.39万,2018年,1.4万公里,2018款,2.0T
奥迪A4L 2019款 40 TFSI 时尚型 国V,24.38万,36.45万,2019年,5.6万公里,2019款,2.0T
宝马3系 2013款 改款 320Li 风尚设计套装,15.68万,43.64万,2013年,13.6万公里,2013款,2.0T
宝马3系 2017款 318i 时尚型,18.30万,31.26万,2017年,2.8万公里,2017款,1.5T
本田UR-V 2017款 370TURBO 两驱尊贵版 国V,23.00万,30.37万,2018年,3.7万公里,2017款,2.0T
别克GL8 2017款 ES 28T 豪华型 国V,30.90万,40.15万,2018年,3.4万公里,2017款,2.0T
宝马X3 2019款 xDrive28i M运动套装,38.00万,46.22万,2019年,3.7万公里,2019款,2.0T
本田 雅阁 2018款 260TURBO 精英版 国V,16.80万,20.60万,2019年,4.2万公里,2018款,1.5T
雪佛兰 迈锐宝 2018款 530T 自动豪华版,9.35万,19.53万,2018年,3.7万公里,2018款,1.5T
吉利 缤瑞 2018款 14T CVT缤致版,7.38万,10.51万,2018年,4.2万公里,2018款,1.4T
奥迪A5 2014款 Sportback 45 TFSI quattro(进口),21.50万,63.50万,2015年,14.7万公里,2014款,2.0T
日产 途乐 2018款 4.0L 领英型(进口),44.00万,60.57万,2018年,5.9万公里,2018款,4.0L
大众CC 2016款 1.8TSI 尊贵型,15.18万,27.44万,2016年,10.8万公里,2016款,1.8T
吉利 缤越 2019款 运动款 260T DCT Battle 国V,8.24万,12.90万,2019年,5.9万公里,2019款,1.5T
奥迪Q5 2018款 典藏版 40 TFSI 技术型,27.58万,45.99万,2018年,3.5万公里,2018款,2.0T
启辰T90 2018款 2.0L CVT智联智尚版 国V,8.50万,14.96万,2019年,1.9万公里,2018款,2.0L
路虎 揽胜星脉 2017款 P250 S(进口),42.80万,74.68万,2018年,5.9万公里,2017款,2.0T
奔驰C级 2017款 改款 C 180 L 时尚型运动版,24.80万,35.36万,2017年,6.1万公里,2017款,1.6T
奔驰GLC级 2017款 GLC 260 4MATIC 豪华型,34.30万,48.30万,2017年,1.0万公里,2017款,2.0T
奔驰E级 2019款 E 260 L 运动型,39.80万,46.22万,2019年,1.2万公里,2019款,1.5T
奥迪A3 2014款 Limousine 35 TFSI 自动时尚型,10.99万,24.41万,2014年,6.9万公里,2014款,1.4T
别克 凯越 2013款 1.5L 自动尊享型,4.57万,12.58万,2015年,2.5万公里,2013款,1.5L
大众 途观 2013款 1.8TSI 自动四驱豪华型,11.80万,30.05万,2014年,8.5万公里,2013款,1.8T
奥迪A4L 2010款 2.0 TFSI 舒适型,8.00万,35.81万,2009年,19.0万公里,2010款,2.0T
起亚KX5 2016款 2.0L 自动两驱Premium,10.90万,20.60万,2017年,7.3万公里,2016款,2.0L
福特 福睿斯 2015款 1.5L 手动时尚型,5.98万,11.70万,2017年,4.6万公里,2015款,1.5L
荣威360 2015款 1.5L 自动豪华版,4.98万,9.76万,2016年,2.7万公里,2015款,1.5L
长安 逸动 2016款 1.6L 自动风尚型,4.68万,8.56万,2016年,2.8万公里,2016款,1.6L
大众 捷达 2013款 1.6L 自动豪华型,4.80万,12.95万,2014年,7.7万公里,2013款,1.6L
宝马X1 2010款 sDrive18i豪华型(进口),9.20万,39.84万,2012年,9.5万公里,2010款,2.0L
雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT,4.95万,11.93万,2015年,15.3万公里,2015款,1.5L
奔腾X80 2013款 2.0L 自动豪华型,4.80万,15.83万,2013年,10.5万公里,2013款,2.0L
别克 君越 2016款 20T 精英型,12.90万,26.03万,2017年,5.1万公里,2016款,1.5T
日产 颐达 2008款 1.6L 自动智能型,3.38万,13.76万,2009年,14.6万公里,2008款,1.6L
日产 奇骏 2014款 2.0L CVT舒适版 2WD,13.20万,21.36万,2015年,4.9万公里,2014款,2.0L
宝马X1 2010款 sDrive18i豪华型(进口),8.40万,39.84万,2012年,12.6万公里,2010款,2.0L
本田CR-V 2013款 2.4L 两驱豪华版,13.60万,24.94万,2014年,5.6万公里,2013款,2.4L
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,8.12万,13.56万,2016年,4.1万公里,2013款,1.6L
福特 福克斯 2012款 两厢 1.6L 自动风尚型,4.80万,15.62万,2012年,6.0万公里,2012款,1.6L
别克GL8 2014款 2.4L LT豪华商务行政版,16.90万,35.81万,2016年,14.8万公里,2014款,2.4L
中华V5 2014款 1.5T 自动两驱豪华型,4.50万,12.79万,2015年,7.6万公里,2014款,1.5T
标致3008 2015款 2.0L 自动经典版,7.90万,18.64万,2016年,8.4万公里,2015款,2.0L
起亚K4 2015款 1.8L 自动GLS Special,8.28万,16.26万,2016年,7.2万公里,2015款,1.8L
宝马3系 2012款 320i 豪华型,9.90万,42.20万,2012年,6.4万公里,2012款,2.0L
斯柯达 明锐 2012款 1.6L 自动逸俊版,4.00万,16.17万,2012年,6.7万公里,2012款,1.6L
日产 天籁 2011款 2.0L XL舒适版,7.68万,21.69万,2011年,8.2万公里,2011款,2.0L
现代ix35 2012款 2.0L 自动两驱精英版GLS,6.68万,21.25万,2013年,10.2万公里,2012款,2.0L
奔驰C级 2020款 改款 C 260 运动版,28.80万,34.06万,2020年,1.5万公里,2020款,1.5T
别克 君越 2016款 20T 精英型,14.80万,26.03万,2017年,4.1万公里,2016款,1.5T
大众 高尔夫 2015款 1.6L 自动舒适型,7.58万,15.73万,2015年,7.9万公里,2015款,1.6L
大众 朗行 2015款 1.6L 自动风尚版,7.30万,13.56万,2016年,5.9万公里,2015款,1.6L
大众CC 2011款 1.8TSI 豪华型,9.08万,28.63万,2012年,12.0万公里,2011款,1.8T
东风风行 菱智 2013款 M5 Q7 2.0L 7座长轴舒适型,2.50万,8.89万,2013年,4.1万公里,2013款,2.0L
路虎 揽胜极光 2014款 2.0T 5门耀动版(进口),18.98万,68.17万,2014年,3.1万公里,2014款,2.0T
起亚 智跑 2015款 2.0L 自动两驱版GL,8.50万,17.24万,2015年,10.0万公里,2015款,2.0L
奥迪Q5 2016款 40 TFSI 技术型,23.60万,46.41万,2016年,7.2万公里,2016款,2.0T
雪佛兰 科鲁兹 2011款 1.6L SL天地版 AT,3.38万,13.88万,2011年,5.7万公里,2011款,1.6L
大众 宝来 2011款 1.4T AT Sportline,3.86万,15.93万,2010年,9.9万公里,2011款,1.4T
雪佛兰 科鲁兹 2013款 1.8L SE AT,4.26万,14.86万,2013年,7.4万公里,2013款,1.8L
现代 瑞纳 2014款 1.4L 自动领先型GLX,5.00万,10.08万,2015年,2.9万公里,2014款,1.4L
宝骏310 2017款 1.5L 自动时尚型,4.18万,6.06万,2018年,2.5万公里,2017款,1.5L
本田 锋范经典 2012款 1.5L 自动精英版,4.98万,11.92万,2012年,6.0万公里,2012款,1.5L
凯迪拉克CT6 2019款 28T 时尚型,26.50万,41.22万,2019年,3.5万公里,2019款,2.0T
别克 凯越 2011款 1.6LE-AT,2.98万,12.80万,2011年,6.6万公里,2011款,1.6L
大众 途观 2016款 300TSI 自动两驱风尚版,11.58万,22.99万,2016年,5.6万公里,2016款,1.8T
福特 蒙迪欧 2013款 2.0L GTDi200时尚型,10.99万,22.01万,2016年,7.6万公里,2013款,2.0T
日产 轩逸 2016款 1.6XV CVT智享版,7.79万,15.17万,2016年,11.4万公里,2016款,1.6L
大众POLO 2011款 1.4L 自动致酷版,4.10万,12.91万,2011年,8.0万公里,2011款,1.4L
奔腾B30 2016款 1.6L 自动豪华型,4.55万,8.99万,2016年,6.1万公里,2016款,1.6L
本田 缤智 2015款 1.8L CVT两驱豪华型,9.60万,17.78万,2015年,7.3万公里,2015款,1.8L
东风风神AX7 2016款 2.0L 自动智逸型,6.28万,14.08万,2016年,3.5万公里,2016款,2.0L
别克 君威 2011款 2.0L 舒适版,5.80万,20.07万,2011年,9.5万公里,2011款,2.0L
福特 翼搏 2013款 1.0L GTDi 手动尊贵型,4.45万,13.00万,2015年,7.0万公里,2013款,1.0T
奥迪Q7 2013款 35 TFSI 进取型(进口),31.98万,89.12万,2014年,9.1万公里,2013款,3.0T
大众 朗逸 2013款 改款经典 1.6L 手动舒适版,6.10万,13.67万,2016年,5.4万公里,2013款,1.6L
凯迪拉克SRX 2013款 3.0L 精英型(进口),12.70万,51.00万,2013年,15.2万公里,2013款,3.0L
雪佛兰 赛欧 2011款 三厢 1.4L 手动幸福版,1.88万,7.85万,2012年,5.8万公里,2011款,1.4L
福特 福克斯 2012款 两厢 1.6L 手动舒适型,4.48万,13.01万,2014年,6.1万公里,2012款,1.6L
日产 奇骏 2014款 2.5L CVT豪华版 4WD,13.98万,25.92万,2015年,8.6万公里,2014款,2.5L
马自达6 2008款 2.0L 自动时尚型,4.20万,19.52万,2010年,12.8万公里,2008款,2.0L
领克03 2019款 1.5TD DCT劲Pro版 国VI,13.68万,16.15万,2019年,2.2万公里,2019款,1.5T
别克 英朗 2010款 GT 1.6L 自动时尚版,3.88万,16.58万,2010年,11.2万公里,2010款,1.6L
保时捷Cayenne 2018款 Cayenne 3.0T,100.00万,,2019年,3.9万公里,2018款,3.0T
别克 凯越 2011款 1.6LE-AT,3.00万,12.80万,2012年,7.2万公里,2011款,1.6L
别克GL6 2018款 18T 6座尊贵型,10.88万,18.12万,2018年,1.8万公里,2018款,1.3T
日产 天籁 2011款 2.0L XL舒适版,7.98万,21.69万,2012年,11.7万公里,2011款,2.0L
现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,7.11万,21.36万,2014年,8.2万公里,2013款,2.0L
标致308 2013款 1.6L 自动优尚型,4.38万,12.58万,2014年,7.6万公里,2013款,1.6L
福特 福睿斯 2015款 1.5L 自动时尚型,6.28万,13.00万,2017年,3.8万公里,2015款,1.5L
Smart smart fortwo 2012款 1.0 MHD 硬顶舒适版,6.00万,13.89万,2014年,5.4万公里,2012款,1.0L
比亚迪 宋 2016款 盖世版 1.5TI 手动豪雅型,6.38万,10.84万,2018年,4.3万公里,2016款,1.5T
福特 福克斯 2015款 两厢 1.6L 自动舒适型,5.80万,13.55万,2015年,4.6万公里,2015款,1.6L
东风风光580 2017款 1.5T CVT豪华型,6.98万,10.96万,2017年,6.6万公里,2017款,1.5T
丰田 雷凌 2014款 1.8GS CVT精英版,7.50万,15.17万,2014年,6.5万公里,2014款,1.8L
丰田 威驰FS 2017款 1.5L CVT锋驰版,7.30万,9.31万,2018年,2.6万公里,2017款,1.5L
别克 英朗 2012款 GT 1.6L 手动进取版,3.18万,14.95万,2011年,8.4万公里,2012款,1.6L
海马S5 2015款 1.5T 手动智能豪华型运动版,4.30万,10.83万,2017年,7.5万公里,2015款,1.5T
奔驰C级 2015款 改款 C 200 L 运动型,20.50万,38.40万,2015年,7.1万公里,2015款,2.0T
大众POLO 2014款 1.6L 自动舒适版,6.48万,11.28万,2015年,3.8万公里,2014款,1.6L
别克GL8 2014款 2.4L 经典版,8.98万,22.69万,2015年,8.8万公里,2014款,2.4L
现代 悦动 2010款 1.6L AT GLS,3.48万,13.00万,2010年,9.9万公里,2010款,1.6L
雪佛兰 创酷 2017款 1.4T 自动两驱豪华型,6.60万,14.53万,2017年,3.6万公里,2017款,1.4T
传祺GS5 2014款 2.0L 自动两驱周年增值版,5.68万,17.02万,2015年,6.5万公里,2014款,2.0L
大众 桑塔纳 2013款 1.6L 手动风尚版,3.98万,9.76万,2013年,3.3万公里,2013款,1.6L
本田CR-V 2010款 2.0L 自动四驱经典版,8.98万,23.64万,2012年,10.9万公里,2010款,2.0L
本田 艾力绅 2016款 2.4L 豪华版,26.98万,31.78万,2017年,6.8万公里,2016款,2.4L
福特 福克斯 2012款 两厢经典 1.8L 自动基本型,3.88万,11.92万,2012年,10.9万公里,2012款,1.8L
大众 朗逸 2011款 1.6L 自动品悠版,4.38万,13.55万,2011年,10.1万公里,2011款,1.6L
奔驰GLA级 2016款 GLA 200 时尚型,17.99万,31.46万,2016年,4.9万公里,2016款,1.6T
大众 桑塔纳 2015款 1.6L 自动风尚版,5.48万,10.84万,2015年,4.6万公里,2015款,1.6L
大众 高尔夫 2011款 1.4TSI 自动舒适型,4.90万,16.26万,2010年,15.6万公里,2011款,1.4T
日产 奇骏 2012款 2.0L CVT舒适版 4WD,7.00万,23.64万,2012年,11.3万公里,2012款,2.0L
现代ix25 2015款 1.6L 自动两驱智能型GLS,7.30万,15.50万,2016年,4.9万公里,2015款,1.6L
Jeep 自由光 2016款 2.4L 领先版,11.30万,24.94万,2017年,5.1万公里,2016款,2.4L
日产 骐达 2011款 1.6L CVT舒适型,5.98万,12.52万,2014年,4.7万公里,2011款,1.6L
大众POLO 2016款 1.4L 手动风尚型,4.77万,8.24万,2017年,4.0万公里,2016款,1.4L
江淮 瑞风S2 2015款 1.5L 手动豪华智能型,3.00万,7.36万,2016年,4.3万公里,2015款,1.5L
福特 翼搏 2013款 1.5L 手动风尚型,2.98万,11.16万,2013年,7.7万公里,2013款,1.5L
别克 凯越 2011款 1.6LE-AT,2.60万,12.80万,2011年,12.2万公里,2011款,1.6L
标致308 2014款 乐享版 经典 1.6L 自动优尚型,5.50万,12.58万,2016年,5.1万公里,2014款,1.6L
大众 桑塔纳 2016款 1.4L 手动风尚版,4.90万,9.22万,2018年,4.3万公里,2016款,1.4L
大众 高尔夫 2012款 1.4TSI 自动豪华型,8.00万,18.21万,2013年,3.6万公里,2012款,1.4T
奔驰C级 2018款 C 200 运动版,25.99万,33.95万,2018年,2.0万公里,2018款,2.0T
福特 福睿斯 2015款 1.5L 自动舒适型,6.28万,11.70万,2017年,4.2万公里,2015款,1.5L
别克 英朗 2016款 15N 手动精英型,5.30万,12.69万,2016年,6.8万公里,2016款,1.5L
宝骏510 2017款 1.5L 手动时尚型,4.38万,6.82万,2017年,0.2万公里,2017款,1.5L
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,26.88万,32.00万,2017年,3.7万公里,2015款,2.0T
福特 野马 2017款 2.3T 性能版(进口),27.85万,43.07万,2017年,4.3万公里,2017款,2.3T
日产 逍客 2011款 2.0XV 雷 CVT 2WD,6.38万,19.63万,2012年,16.6万公里,2011款,2.0L
凯迪拉克ATS-L 2017款 28T 技术型,19.10万,29.72万,2019年,1.7万公里,2017款,2.0T
MINI Clubman 2018款 1.5T COOPER 赛车手,24.50万,30.81万,2018年,2.2万公里,2018款,1.5T
现代 途胜 2015款 1.6T 双离合两驱领先型,9.90万,21.37万,2016年,6.9万公里,2015款,1.6T
日产 骊威 2007款 1.6L 自动超能型,2.75万,11.27万,2009年,13.8万公里,2007款,1.6L
奥迪A4L 2012款 1.8 TFSI 手动舒适型,8.88万,29.61万,2011年,3.5万公里,2012款,1.8T
丰田 雷凌 2016款 1.6G CVT精英版,8.30万,13.55万,2016年,6.6万公里,2016款,1.6L
大众 捷达 2017款 1.5L 自动舒适型,6.35万,11.68万,2017年,3.3万公里,2017款,1.5L
奔驰GLS级 2017款 GLS 400 4MATIC动感型(进口),79.80万,125.70万,2017年,7.9万公里,2017款,3.0T
宝骏510 2017款 1.5L 自动豪华型,5.80万,8.23万,2018年,3.3万公里,2017款,1.5L
Jeep 自由光 2016款 2.4L 领先版,13.00万,24.94万,2017年,3.7万公里,2016款,2.4L
日产 阳光 2011款 1.5XL CVT豪华版,3.50万,11.16万,2012年,10.6万公里,2011款,1.5L
奔驰E级 2019款 改款 E 300 L 运动豪华型,46.80万,53.49万,2019年,0.7万公里,2019款,2.0T
吉利 博瑞 2015款 2.4L 舒适型,6.39万,14.09万,2016年,7.7万公里,2015款,2.4L
丰田 花冠 2013款 1.6L 自动卓越版,5.98万,11.81万,2013年,9.0万公里,2013款,1.6L
现代 领动 2018款 1.6L 自动15周年特别版,8.55万,13.00万,2019年,3.2万公里,2018款,1.6L
奥迪A4L 2017款 40 TFSI 进取型,22.45万,32.54万,2017年,4.2万公里,2017款,2.0T
本田 飞度 2016款 1.5L LXS CVT舒适天窗版,7.16万,9.31万,2017年,6.1万公里,2016款,1.5L
大众 高尔夫 2012款 1.4TSI 豪华敞篷版(进口),11.45万,41.23万,2014年,12.0万公里,2012款,1.4T
MINI 2016款 1.5T COOPER,19.58万,25.38万,2018年,2.5万公里,2016款,1.5T
英菲尼迪Q50L 2018款 2.0T 逸享版 国V,22.68万,32.00万,2019年,2.4万公里,2018款,2.0T
英菲尼迪QX50 2018款 2.0T 两驱时尚版,24.80万,38.08万,2019年,3.1万公里,2018款,2.0T
奥迪A4L 2019款 40 TFSI 运动型 国V,26.70万,39.38万,2019年,1.5万公里,2019款,2.0T
别克GL8 2018款 28T 豪华型 国VI,23.90万,27.45万,2019年,1.9万公里,2018款,2.0T
大众 速腾 2014款 改款 1.6L 自动舒适型,6.98万,16.37万,2015年,5.3万公里,2014款,1.6L
力帆 轩朗 2017款 1.5T 自动舒适型,4.79万,10.51万,2018年,2.7万公里,2017款,1.5T
大众 夏朗 2016款 280TSI 乐享型 7座(进口),15.50万,29.29万,2016年,4.2万公里,2016款,1.4T
